File,Message,Line,Severity
moodle/lib/cronlib.php,"Remove this call to ""sleep"".",209,MINOR
moodle/analytics/tests/fixtures/test_analysis.php,"Remove this call to ""sleep"".",44,MINOR
moodle/lib/tests/time_splittings_test.php,"Remove this call to ""sleep"".",306,MINOR
moodle/lib/tests/time_splittings_test.php,"Remove this call to ""sleep"".",347,MINOR
moodle/h5p/js/embed.js,Make sure this cross-domain message is being sent to the intended domain.,72,CRITICAL
moodle/lib/h5p/js/h5p-resizer.js,Make sure this cross-domain message is being sent to the intended domain.,127,CRITICAL
moodle/lib/h5p/js/h5p.js,Make sure this cross-domain message is being sent to the intended domain.,471,CRITICAL
moodle/badges/upgradelib.php,"'password' detected in this variable name, review this potentially hardcoded credential.",41,BLOCKER
moodle/badges/upgradelib.php,"'password' detected in this variable name, review this potentially hardcoded credential.",58,BLOCKER
moodle/lang/en/admin.php,"'password' detected in this variable name, review this potentially hardcoded credential.",190,BLOCKER
moodle/lib/tcpdf/include/tcpdf_static.php,Activate SSL/TLS certificates chain of trust verification.,1840,CRITICAL
moodle/lib/tcpdf/include/tcpdf_static.php,Activate SSL/TLS certificates chain of trust verification.,1841,CRITICAL
moodle/badges/classes/external/recipient_exporter.php,Use the salt that is generated by default.,56,CRITICAL
moodle/mod/forum/tests/externallib_test.php,"Remove this call to ""sleep"".",1422,MINOR
moodle/mod/forum/tests/externallib_test.php,"Remove this call to ""sleep"".",1430,MINOR
moodle/mod/forum/tests/externallib_test.php,"Remove this call to ""sleep"".",1435,MINOR
moodle/mod/forum/tests/externallib_test.php,"Remove this call to ""sleep"".",1439,MINOR
moodle/mod/forum/tests/externallib_test.php,"Remove this call to ""sleep"".",1447,MINOR
moodle/mod/forum/tests/externallib_test.php,"Remove this call to ""sleep"".",1455,MINOR
moodle/mod/forum/tests/externallib_test.php,"Remove this call to ""sleep"".",1463,MINOR
moodle/mod/forum/tests/externallib_test.php,"Remove this call to ""sleep"".",1471,MINOR
moodle/lib/tests/behat/behat_hooks.php,"Remove this call to ""sleep"".",578,MINOR
moodle/auth/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",141,BLOCKER
moodle/auth/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",166,BLOCKER
moodle/auth/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",189,BLOCKER
moodle/auth/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",213,BLOCKER
moodle/search/engine/simpledb/tests/engine_test.php,"Remove this call to ""sleep"".",116,MINOR
moodle/search/engine/simpledb/tests/engine_test.php,"Remove this call to ""sleep"".",157,MINOR
moodle/search/engine/simpledb/tests/engine_test.php,"Remove this call to ""sleep"".",159,MINOR
moodle/lib/tests/indicators_test.php,"Remove this call to ""sleep"".",264,MINOR
moodle/lib/tests/indicators_test.php,"Remove this call to ""sleep"".",209,MINOR
moodle/auth/oauth2/classes/api.php,"'password' detected in this variable name, review this potentially hardcoded credential.",265,BLOCKER
moodle/auth/oauth2/classes/api.php,"'password' detected in this variable name, review this potentially hardcoded credential.",314,BLOCKER
moodle/mod/lesson/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",1348,BLOCKER
moodle/mod/lesson/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",1366,BLOCKER
moodle/mod/lesson/tests/external_test.php,"Remove this call to ""sleep"".",1217,MINOR
moodle/mod/lesson/tests/external_test.php,"Remove this call to ""sleep"".",1146,MINOR
moodle/files/converter/unoconv/classes/converter.php,"Remove this call to ""sleep"".",250,MINOR
moodle/lib/behat/lib.php,"Remove this call to ""sleep"".",540,MINOR
moodle/auth/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",75,BLOCKER
moodle/auth/email/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",88,BLOCKER
moodle/auth/email/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",133,BLOCKER
moodle/admin/cli/reset_password.php,"'password' detected in this variable name, review this potentially hardcoded credential.",57,BLOCKER
moodle/mod/assign/feedback/editpdf/tests/behat/behat_assignfeedback_editpdf.php,"Remove this call to ""sleep"".",65,MINOR
moodle/mod/assign/feedback/editpdf/tests/behat/behat_assignfeedback_editpdf.php,"Remove this call to ""sleep"".",72,MINOR
moodle/mod/assign/feedback/editpdf/tests/behat/behat_assignfeedback_editpdf.php,"Remove this call to ""sleep"".",79,MINOR
moodle/mod/quiz/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",1605,BLOCKER
moodle/auth/cas/CAS/CAS/Request/CurlRequest.php,Activate SSL/TLS certificates chain of trust verification.,132,CRITICAL
moodle/mod/quiz/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",771,BLOCKER
moodle/mod/quiz/tests/external_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",677,BLOCKER
moodle/search/engine/solr/tests/engine_test.php,"Remove this call to ""sleep"".",178,MINOR
moodle/search/engine/solr/tests/engine_test.php,"Remove this call to ""sleep"".",220,MINOR
moodle/search/engine/solr/tests/engine_test.php,"Remove this call to ""sleep"".",222,MINOR
moodle/lib/adodb/adodb.inc.php,"'password' detected in this variable name, review this potentially hardcoded credential.",670,BLOCKER
moodle/lib/adodb/adodb.inc.php,"'password' detected in this variable name, review this potentially hardcoded credential.",753,BLOCKER
moodle/enrol/self/tests/externallib_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",157,BLOCKER
moodle/enrol/self/tests/externallib_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",202,BLOCKER
moodle/enrol/self/tests/externallib_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",230,BLOCKER
moodle/lib/tcpdf/include/tcpdf_static.php,Activate SSL/TLS certificates chain of trust verification.,1951,CRITICAL
moodle/lib/tcpdf/include/tcpdf_static.php,Activate SSL/TLS certificates chain of trust verification.,1952,CRITICAL
moodle/lib/tests/behat/behat_general.php,"Remove this call to ""sleep"".",286,MINOR
moodle/auth/cas/CAS/CAS/Request/CurlRequest.php,Activate SSL/TLS certificates chain of trust verification.,125,CRITICAL
moodle/lib/tests/lock_test.php,"Remove this call to ""sleep"".",118,MINOR
moodle/auth/cas/CAS/CAS/Request/CurlRequest.php,Activate SSL/TLS certificates chain of trust verification.,131,CRITICAL
moodle/user/tests/userlib_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",151,BLOCKER
moodle/user/editadvanced.php,"'password' detected in this variable name, review this potentially hardcoded credential.",195,BLOCKER
moodle/repository/tests/generator_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",160,BLOCKER
moodle/lib/behat/behat_base.php,"Remove this call to ""sleep"".",374,MINOR
moodle/mod/lti/tests/generator/lib.php,"'password' detected in this variable name, review this potentially hardcoded credential.",50,BLOCKER
moodle/mod/quiz/accessrule/password/tests/rule_test.php,"'password' detected in this variable name, review this potentially hardcoded credential.",43,BLOCKER
moodle/lib/editor/tinymce/plugins/spellchecker/classes/GoogleSpell.php,Activate SSL/TLS certificates chain of trust verification.,83,CRITICAL
moodle/admin/tool/uploaduser/index.php,"'password' detected in this variable name, review this potentially hardcoded credential.",800,BLOCKER
moodle/auth/cas/auth.php,"'password' detected in this variable name, review this potentially hardcoded credential.",145,BLOCKER
moodle/auth/cas/auth.php,"'password' detected in this variable name, review this potentially hardcoded credential.",159,BLOCKER
moodle/lib/ldaplib.php,Provide username and password to authenticate the connection.,220,CRITICAL
moodle/backup/util/dbops/restore_dbops.class.php,"'password' detected in this variable name, review this potentially hardcoded credential.",1232,BLOCKER
moodle/lib/jabber/XMPP/XMLStream.php,"Remove this call to ""sleep"".",319,MINOR
moodle/lib/phpmailer/src/PHPMailer.php,"'password' detected in this variable name, review this potentially hardcoded credential.",349,BLOCKER
moodle/lib/db/install.php,"'password' detected in this variable name, review this potentially hardcoded credential.",230,BLOCKER
moodle/lib/jabber/XMPP/XMPP.php,Change this code to use a stronger protocol.,392,MAJOR
moodle/lib/adodb/drivers/adodb-ldap.inc.php,Provide username and password to authenticate the connection.,85,CRITICAL
moodle/mnet/lib.php,Activate SSL/TLS certificates chain of trust verification.,71,CRITICAL
moodle/mnet/lib.php,Activate SSL/TLS certificates chain of trust verification.,72,CRITICAL
moodle/mod/chat/gui_header_js/jsupdated.php,"Remove this call to ""sleep"".",135,MINOR
moodle/mod/chat/gui_header_js/jsupdated.php,"Remove this call to ""sleep"".",166,MINOR
moodle/mod/chat/gui_header_js/jsupdated.php,"Remove this call to ""sleep"".",233,MINOR
moodle/lib/moodlelib.php,"Remove this call to ""sleep"".",9109,MINOR
moodle/lib/adodb/adodb-perf.inc.php,"Remove this call to ""sleep"".",366,MINOR
moodle/lib/adodb/adodb-perf.inc.php,"Remove this call to ""sleep"".",785,MINOR
